epoch,time_sec
0,177.81583452224731
1,210.1141073703766
2,200.85790991783142
3,225.2062373161316
4,161.74243187904358
5,179.11954593658447
6,177.4674310684204
7,177.5624451637268
8,150.98435831069946
9,174.64685201644897
10,199.51879405975342
11,165.28496861457825
12,172.74970602989197
13,169.735205411911
14,168.71990966796875
15,178.81306886672974
16,185.59136772155762
17,159.81831908226013
18,179.64011144638062
19,176.98652505874634
20,170.51203727722168
21,169.37129187583923
22,168.519784450531
23,168.77101039886475
24,169.0195667743683
25,169.33600759506226
26,169.9682741165161
27,170.37552857398987
28,170.99025869369507
29,171.7264518737793
30,171.91450262069702
31,173.59185814857483
32,152.20619440078735
33,151.97792172431946
34,153.62856078147888
35,156.5501925945282
36,164.14873266220093
37,166.63427090644836
38,160.86158323287964
39,161.22666954994202
40,175.8651638031006
41,181.79014468193054
42,198.8277451992035
43,220.98184895515442
44,239.81197905540466
45,250.85479164123535
46,250.20843625068665
47,287.24064683914185
48,202.7927601337433
49,192.26982307434082
